"age","ratio"
18,0.583333333333333
19,0.314285714285714
20,0.3
21,0.278481012658228
22,0.310077519379845
23,0.217821782178218
24,0.225165562913907
25,0.214421252371917
26,0.166459627329193
27,0.155115511551155
28,0.15606936416185
29,0.144303797468354
30,0.123505976095618
31,0.103206412825651
32,0.10599520383693
33,0.106490872210953
34,0.10259067357513
35,0.110348468848997
36,0.10797342192691
37,0.100235849056604
38,0.0982264665757162
39,0.0961667787491594
40,0.0856088560885609
41,0.0929512006196747
42,0.0893719806763285
43,0.0887166236003445
44,0.0818661971830986
45,0.0871710526315789
46,0.100425531914894
47,0.103860294117647
48,0.082246740220662
49,0.101609657947686
50,0.0766773162939297
51,0.0822649572649573
52,0.0933040614709111
53,0.0953984287317621
54,0.103575832305795
55,0.0942928039702233
56,0.0874035989717224
57,0.0942028985507246
58,0.0972972972972973
59,0.114285714285714
60,0.164429530201342
61,0.387755102040816
62,0.4875
63,0.38961038961039
64,0.472972972972973
65,0.355932203389831
66,0.380952380952381
67,0.425925925925926
68,0.583333333333333
69,0.386363636363636
70,0.253731343283582
71,0.462962962962963
72,0.461538461538462
73,0.545454545454545
74,0.351351351351351
75,0.384615384615385
76,0.5
77,0.5
78,0.466666666666667
79,0.4
80,0.387096774193548
81,0.352941176470588
82,0.421052631578947
83,0.272727272727273
84,0.555555555555556
85,0.8
86,0.444444444444444
87,0.75
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,0.5
